date,price_Bangchak,price_PTT,price_Shell,effective_date
2023-01-01,34.45,34.45,35.05,21 Dec 05:00
2023-01-02,34.45,34.45,35.05,21 Dec 05:00
2023-01-03,34.45,34.45,35.05,21 Dec 05:00
2023-01-04,34.45,34.45,35.05,21 Dec 05:00
2023-01-05,34.45,34.45,35.05,21 Dec 05:00
2023-01-06,35.05,35.05,35.05,05 Jan 05:00
2023-01-07,34.75,34.75,35.05,06 Jan 05:00
2023-01-08,34.45,34.45,34.75,07 Jan 05:00
2023-01-09,34.45,34.45,34.75,07 Jan 05:00
2023-01-10,34.45,34.45,34.75,07 Jan 05:00
2023-01-11,34.45,34.45,34.75,07 Jan 05:00
2023-01-12,34.45,34.45,34.75,07 Jan 05:00
2023-01-13,34.45,34.45,34.75,07 Jan 05:00
2023-01-14,34.75,34.75,35.05,13 Jan 05:00
2023-01-15,35.25,35.25,35.55,14 Jan 05:00
2023-01-16,35.25,35.25,35.55,14 Jan 05:00
2023-01-17,35.25,35.25,35.55,14 Jan 05:00
2023-01-18,35.25,35.25,35.55,14 Jan 05:00
2023-01-19,35.55,35.55,35.85,17 Jan 05:00
2023-01-20,35.55,35.55,36.25,17 Jan 05:00
2023-01-21,36.15,36.15,36.25,20 Jan 05:00
2023-01-22,36.75,36.75,37.25,21 Jan 05:00
2023-01-23,36.75,36.75,37.25,21 Jan 05:00
2023-01-24,36.75,36.75,37.25,21 Jan 05:00
2023-01-25,37.05,37.05,37.55,24 Jan 05:00
2023-01-26,37.05,37.05,37.55,24 Jan 05:00
2023-01-27,36.65,36.65,37.55,26 Jan 05:00
2023-01-28,36.65,36.65,37.55,26 Jan 05:00
2023-01-29,36.65,36.65,37.55,26 Jan 05:00
2023-01-30,36.65,36.65,37.55,26 Jan 05:00
2023-01-31,36.65,36.65,37.55,26 Jan 05:00
2023-02-01,36.65,36.65,37.55,26 Jan 05:00
2023-02-02,36.25,36.25,37.15,01 Feb 05:00
2023-02-03,35.95,35.95,37.15,02 Feb 05:00
2023-02-04,35.95,35.95,37.15,02 Feb 05:00
2023-02-05,35.65,35.65,36.85,04 Feb 05:00
2023-02-06,35.65,35.65,36.85,04 Feb 05:00
2023-02-07,35.65,35.65,36.85,04 Feb 05:00
2023-02-08,35.65,35.65,36.85,04 Feb 05:00
2023-02-09,35.35,35.35,36.55,08 Feb 05:00
2023-02-10,35.85,35.85,36.55,09 Feb 05:00
2023-02-11,36.25,36.25,36.55,10 Feb 05:00
2023-02-12,36.25,36.25,36.55,10 Feb 05:00
2023-02-13,36.25,36.25,36.55,10 Feb 05:00
2023-02-14,36.25,36.25,36.55,10 Feb 05:00
2023-02-15,36.25,36.25,36.55,10 Feb 05:00
2023-02-16,36.25,36.25,36.55,15 Feb 05:00
2023-02-17,36.25,36.25,36.55,16 Feb 05:00
2023-02-18,36.25,36.25,37.24,16 Feb 05:00
2023-02-19,36.55,36.55,37.24,18 Feb 05:00
2023-02-20,36.55,36.55,37.24,18 Feb 05:00
2023-02-21,36.55,36.55,37.24,18 Feb 05:00
2023-02-22,36.05,36.05,36.74,21 Feb 05:00
2023-02-23,36.05,36.05,36.74,22 Feb 05:00
2023-02-24,36.35,36.35,37.04,23 Feb 05:00
2023-02-25,36.35,36.35,37.04,23 Feb 05:00
2023-02-26,35.85,35.85,36.74,25 Feb 05:00
2023-02-27,35.85,35.85,36.74,25 Feb 05:00
2023-02-28,35.85,35.85,36.74,25 Feb 05:00
2023-03-01,36.35,36.35,36.94,28 Feb 05:00
2023-03-02,36.35,36.35,36.94,28 Feb 05:00
2023-03-03,36.35,36.35,36.94,28 Feb 05:00
2023-03-04,36.35,36.35,36.94,28 Feb 05:00
2023-03-05,36.35,36.35,36.94,28 Feb 05:00
2023-03-06,36.35,36.35,36.94,28 Feb 05:00
2023-03-07,36.35,36.35,36.94,28 Feb 05:00
2023-03-08,36.35,36.35,37.44,28 Feb 05:00
2023-03-09,36.85,36.85,37.44,08 Mar 05:00
2023-03-10,36.85,36.85,37.44,08 Mar 05:00
2023-03-11,36.35,36.35,37.44,10 Mar 05:00
2023-03-12,36.35,36.35,37.44,10 Mar 05:00
2023-03-13,36.35,36.35,37.44,10 Mar 05:00
2023-03-14,36.35,36.35,37.44,10 Mar 05:00
2023-03-15,36.05,36.05,37.44,14 Mar 05:00
2023-03-16,36.05,36.05,37.14,14 Mar 05:00
2023-03-17,36.05,36.05,37.14,14 Mar 05:00
2023-03-18,36.05,36.05,37.14,14 Mar 05:00
2023-03-19,35.45,35.45,36.54,18 Mar 05:00
2023-03-20,35.45,35.45,36.54,18 Mar 05:00
2023-03-21,35.45,35.45,36.54,18 Mar 05:00
2023-03-22,35.45,35.45,36.54,18 Mar 05:00
2023-03-23,34.85,34.85,35.94,22 Mar 05:00
2023-03-24,34.85,34.85,35.94,22 Mar 05:00
2023-03-25,35.35,35.35,36.44,24 Mar 05:00
2023-03-26,35.75,35.75,36.94,25 Mar 05:00
2023-03-27,35.75,35.75,36.94,25 Mar 05:00
2023-03-28,35.75,35.75,36.94,25 Mar 05:00
2023-03-29,35.75,35.75,36.94,25 Mar 05:00
2023-03-30,35.75,35.75,37.44,25 Mar 05:00
2023-03-31,36.35,36.35,37.44,30 Mar 05:00
2023-04-01,36.35,36.35,37.44,30 Mar 05:00
2023-04-02,36.35,36.35,36.94,30 Mar 05:00
2023-04-03,36.35,36.35,36.94,30 Mar 05:00
2023-04-04,36.35,36.35,36.94,30 Mar 05:00
2023-04-05,36.05,36.05,37.44,04 Apr 05:00
2023-04-06,36.65,36.65,37.44,05 Apr 05:00
2023-04-07,37.25,37.25,37.54,06 Apr 05:00
2023-04-08,37.25,37.25,37.54,07 Apr 05:00
2023-04-09,37.25,37.25,37.54,07 Apr 05:00
2023-04-10,37.25,37.25,37.54,07 Apr 05:00
2023-04-11,37.25,37.25,37.54,07 Apr 05:00
2023-04-12,37.25,37.25,37.54,07 Apr 05:00
2023-04-13,37.25,37.25,37.54,07 Apr 05:00
2023-04-14,37.25,37.25,37.54,07 Apr 05:00
2023-04-15,37.25,37.25,37.54,07 Apr 05:00
2023-04-16,37.25,37.25,37.54,07 Apr 05:00
2023-04-17,37.25,37.25,37.54,07 Apr 05:00
2023-04-18,37.25,37.25,37.54,07 Apr 05:00
2023-04-19,37.25,37.25,37.54,07 Apr 05:00
2023-04-20,37.25,37.25,37.54,07 Apr 05:00
2023-04-21,36.85,36.85,37.34,20 Apr 05:00
2023-04-22,36.85,36.85,37.34,20 Apr 05:00
2023-04-23,36.45,36.45,37.34,22 Apr 05:00
2023-04-24,36.45,36.45,37.34,22 Apr 05:00
2023-04-25,36.45,36.45,37.34,22 Apr 05:00
2023-04-26,36.45,36.45,38.34,22 Apr 05:00
2023-04-27,36.15,36.15,37.04,26 Apr 05:00
2023-04-28,36.55,36.55,37.04,27 Apr 05:00
2023-04-29,35.95,35.95,36.44,28 Apr 05:00
2023-04-30,35.65,35.65,36.14,29 Apr 05:00
2023-05-01,35.65,35.65,36.14,29 Apr 05:00
2023-05-02,35.65,35.65,36.14,29 Apr 05:00
2023-05-03,35.65,35.65,36.14,29 Apr 05:00
2023-05-04,35.65,35.65,36.14,29 Apr 05:00
2023-05-05,35.65,35.65,36.14,04 May 05:00
2023-05-06,35.65,35.65,36.14,04 May 05:00
2023-05-07,35.65,35.65,36.14,04 May 05:00
2023-05-08,35.65,35.65,36.14,04 May 05:00
2023-05-09,35.65,35.65,36.14,04 May 05:00
2023-05-10,35.05,35.05,35.54,09 May 05:00
2023-05-11,35.05,35.05,35.54,09 May 05:00
2023-05-12,34.75,34.75,35.24,11 May 05:00
2023-05-13,34.75,34.75,35.24,11 May 05:00
2023-05-14,35.15,35.15,35.64,13 May 05:00
2023-05-15,35.15,35.15,35.64,13 May 05:00
2023-05-16,35.15,35.15,35.64,15 May 05:00
2023-05-17,34.75,34.75,35.24,16 May 05:00
2023-05-18,34.75,34.75,35.24,16 May 05:00
2023-05-19,34.75,34.75,35.24,16 May 05:00
2023-05-20,34.75,34.75,35.24,16 May 05:00
2023-05-21,34.75,34.75,35.24,16 May 05:00
2023-05-22,34.75,34.75,35.24,16 May 05:00
2023-05-23,34.75,34.75,35.24,16 May 05:00
2023-05-24,35.05,35.05,35.54,23 May 05:00
2023-05-25,35.05,35.05,35.54,23 May 05:00
2023-05-26,35.05,35.05,35.54,23 May 05:00
2023-05-27,35.45,35.45,35.94,26 May 05:00
2023-05-28,35.45,35.45,35.94,26 May 05:00
2023-05-29,35.45,35.45,35.94,26 May 05:00
2023-05-30,35.45,35.45,35.94,26 May 05:00
2023-05-31,35.15,35.15,35.64,30 May 05:00
2023-06-01,35.15,35.15,35.64,30 May 05:00
2023-06-02,35.15,35.15,35.64,30 May 05:00
2023-06-03,34.65,34.65,35.14,02 Jun 05:00
2023-06-04,34.65,34.65,35.14,02 Jun 05:00
2023-06-05,34.65,34.65,35.14,02 Jun 05:00
2023-06-06,34.65,34.65,35.14,02 Jun 05:00
2023-06-07,34.65,34.65,35.14,02 Jun 05:00
2023-06-08,35.25,35.25,35.74,07 Jun 05:00
2023-06-09,35.25,35.25,35.74,07 Jun 05:00
2023-06-10,35.25,35.25,35.74,07 Jun 05:00
2023-06-11,35.75,35.75,36.24,10 Jun 05:00
2023-06-12,35.75,35.75,36.24,10 Jun 05:00
2023-06-13,35.75,35.75,36.24,10 Jun 05:00
2023-06-14,35.75,35.75,36.24,10 Jun 05:00
2023-06-15,35.25,35.25,35.74,14 Jun 05:00
2023-06-16,35.25,35.25,35.74,14 Jun 05:00
